source,hour,cost
Solar,1325,30
Solar,1326,30
Solar,1327,30
Solar,1328,30
Solar,1329,30
Solar,1330,30
Solar,1331,30
Solar,1332,30
Solar,1333,30
Solar,1334,30
Solar,1335,30
Solar,1336,30
Solar,1337,30
Solar,1338,30
Solar,1339,30
Solar,1340,30
Solar,1341,30
Solar,1342,30
Solar,1343,30
Solar,1344,30
Solar,1345,30
Solar,1346,30
Solar,1347,30
Solar,1348,30
Solar,1349,30
Solar,1350,30
Solar,1351,30
Solar,1352,30
Solar,1353,30
Solar,1354,30
Solar,1355,30
Solar,1356,30
Solar,1357,30
Solar,1358,30
Solar,1359,30
Solar,1360,30
Solar,1361,30
Solar,1362,30
Solar,1363,30
Solar,1364,30
Solar,1365,30
Solar,1366,30
Solar,1367,30
Solar,1368,30
Solar,1369,30
Solar,1370,30
Solar,1371,30
Solar,1372,30
Solar,1373,30
Solar,1374,30
Solar,1375,30
Solar,1376,30
Solar,1377,30
Solar,1378,30
Solar,1379,30
Solar,1380,30
Solar,1381,30
Solar,1382,30
Solar,1383,30
Solar,1384,30
Solar,1385,30
Solar,1386,30
Solar,1387,30
Solar,1388,30
Solar,1389,30
Solar,1390,30
Solar,1391,30
Solar,1392,30
Solar,1393,30
Solar,1394,30
Solar,1395,30
Solar,1396,30
Solar,1397,30
Solar,1398,30
Solar,1399,30
Solar,1400,30
Solar,1401,30
Solar,1402,30
Solar,1403,30
Solar,1404,30
Solar,1405,30
Solar,1406,30
Solar,1407,30
Solar,1408,30
Solar,1409,30
Solar,1410,30
Solar,1411,30
Solar,1412,30
Solar,1413,30
Solar,1414,30
Solar,1415,30
Solar,1416,30
Solar,1417,30
Solar,1418,30
Solar,1419,30
Solar,1420,30
Solar,1421,30
Solar,1422,30
Solar,1423,30
Solar,1424,30
Solar,1425,30
Solar,1426,30
Solar,1427,30
Solar,1428,30
Solar,1429,30
Solar,1430,30
Solar,1431,30
Solar,1432,30
Solar,1433,30
Solar,1434,30
Solar,1435,30
Solar,1436,30
Solar,1437,30
Solar,1438,30
Solar,1439,30
Solar,1440,30
Solar,1441,30
Solar,1442,30
Solar,1443,30
Solar,1444,30
Solar,1445,30
Solar,1446,30
Solar,1447,30
Solar,1448,30
Solar,1449,30
Solar,1450,30
Solar,1451,30
Solar,1452,30
Solar,1453,30
Solar,1454,30
Solar,1455,30
Solar,1456,30
Solar,1457,30
Solar,1458,30
Solar,1459,30
Solar,1460,30
Solar,1461,30
Solar,1462,30
Solar,1463,30
Solar,1464,30
Solar,1465,30
Solar,1466,30
Solar,1467,30
Solar,1468,30
Solar,1469,30
Solar,1470,30
Solar,1471,30
Solar,1472,30
Solar,1473,30
Solar,1474,30
Solar,1475,30
Solar,1476,30
Solar,1477,30
Solar,1478,30
Solar,1479,30
Solar,1480,30
Solar,1481,30
Solar,1482,30
Solar,1483,30
Solar,1484,30
Solar,1485,30
Solar,1486,30
Solar,1487,30
Solar,1488,30
Solar,1489,30
Solar,1490,30
Solar,1491,30
Solar,1492,30
Solar,1493,30
Solar,1494,30
Solar,1495,30
Solar,1496,30
Solar,1497,30
Solar,1498,30
Solar,1499,30
Solar,1500,30
Solar,1501,30
Solar,1502,30
Solar,1503,30
Solar,1504,30
Solar,1505,30
Solar,1506,30
Solar,1507,30
Solar,1508,30
Solar,1509,30
Solar,1510,30
Solar,1511,30
Solar,1512,30
Solar,1513,30
Solar,1514,30
Solar,1515,30
Solar,1516,30
Solar,1517,30
Solar,1518,30
Solar,1519,30
Solar,1520,30
Solar,1521,30
Solar,1522,30
Solar,1523,30
Solar,1524,30
Solar,1525,30
Solar,1526,30
Solar,1527,30
Solar,1528,30
Solar,1529,30
Solar,1530,30
Solar,1531,30
Solar,1532,30
Solar,1533,30
Solar,1534,30
Solar,1535,30
Solar,1536,30
Solar,1537,30
Solar,1538,30
Solar,1539,30
Solar,1540,30
Solar,1541,30
Solar,1542,30
Solar,1543,30
Solar,1544,30
Solar,1545,30
Solar,1546,30
Solar,1547,30
Solar,1548,30
Solar,1549,30
Solar,1550,30
Solar,1551,30
Solar,1552,30
Solar,1553,30
Solar,1554,30
Solar,1555,30
Solar,1556,30
Solar,1557,30
Solar,1558,30
Solar,1559,30
Solar,1560,30
Solar,1561,30
Solar,1562,30
Solar,1563,30
Solar,1564,30
Solar,1565,30
Solar,1566,30
Solar,1567,30
Solar,1568,30
Solar,1569,30
Solar,1570,30
Solar,1571,30
Solar,1572,30
Solar,1573,30
Solar,1574,30
Solar,1575,30
Solar,1576,30
Solar,1577,30
Solar,1578,30
Solar,1579,30
Solar,1580,30
Solar,1581,30
Solar,1582,30
Solar,1583,30
Solar,1584,30
Solar,1585,30
Solar,1586,30
Solar,1587,30
Solar,1588,30
Solar,1589,30
Solar,1590,30
Solar,1591,30
Solar,1592,30
Solar,1593,30
Solar,1594,30
Solar,1595,30
Solar,1596,30
Solar,1597,30
Solar,1598,30
Solar,1599,30
Solar,1600,30
Solar,1601,30
Solar,1602,30
Solar,1603,30
Solar,1604,30
Solar,1605,30
Solar,1606,30
Solar,1607,30
Solar,1608,30
Solar,1609,30
Solar,1610,30
Solar,1611,30
Solar,1612,30
Solar,1613,30
Solar,1614,30
Solar,1615,30
Solar,1616,30
Solar,1617,30
Solar,1618,30
Solar,1619,30
Solar,1620,30
Solar,1621,30
Solar,1622,30
Solar,1623,30
Solar,1624,30
Solar,1625,30
Solar,1626,30
Solar,1627,30
Solar,1628,30
Solar,1629,30
Solar,1630,30
Solar,1631,30
Solar,1632,30
Solar,1633,30
Solar,1634,30
Solar,1635,30
Solar,1636,30
Solar,1637,30
Solar,1638,30
Solar,1639,30
Solar,1640,30
Solar,1641,30
Solar,1642,30
Solar,1643,30
Solar,1644,30
Solar,1645,30
Solar,1646,30
Solar,1647,30
Solar,1648,30
Solar,1649,30
Solar,1650,30
Solar,1651,30
Solar,1652,30
Solar,1653,30
Solar,1654,30
Solar,1655,30
Solar,1656,30
Solar,1657,30
Solar,1658,30
Solar,1659,30
Solar,1660,30
Solar,1661,30
